epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,5090.57,0.86388,0.49696,1.10157,0.80199,0.80344,0.86368,0.65405,1.01396,0.54875,1.27095,0.009274,0.009274,0.009274
112,5136.19,0.85831,0.4976,1.10832,0.82651,0.77761,0.86438,0.64605,1.01646,0.55238,1.27499,0.0092674,0.0092674,0.0092674
113,5181.83,0.85307,0.48464,1.09361,0.80283,0.80926,0.86998,0.65284,1.01673,0.54693,1.27236,0.0092608,0.0092608,0.0092608
114,5227.33,0.85229,0.49301,1.10125,0.81231,0.78822,0.86456,0.65264,1.0142,0.54688,1.27448,0.0092542,0.0092542,0.0092542
115,5273.02,0.86008,0.49591,1.10005,0.82152,0.77233,0.86387,0.64764,1.01285,0.55139,1.27314,0.0092476,0.0092476,0.0092476
116,5318.59,0.85502,0.48806,1.09648,0.82575,0.78824,0.87249,0.65439,1.01027,0.54695,1.26779,0.009241,0.009241,0.009241
117,5364.24,0.85029,0.486,1.09559,0.82909,0.79118,0.8739,0.65307,1.01646,0.54406,1.27873,0.0092344,0.0092344,0.0092344
118,5409.83,0.84744,0.47884,1.08835,0.82731,0.79516,0.86948,0.65542,1.01729,0.54395,1.27545,0.0092278,0.0092278,0.0092278
119,5455.56,0.86063,0.49219,1.09224,0.84492,0.7941,0.87624,0.66287,1.01004,0.53511,1.27124,0.0092212,0.0092212,0.0092212
120,5501.37,0.85437,0.4904,1.09013,0.79166,0.82378,0.87469,0.65998,1.01235,0.54053,1.27485,0.0092146,0.0092146,0.0092146
121,5547.03,0.84076,0.48175,1.08704,0.80996,0.81436,0.87607,0.65876,1.01138,0.53331,1.273,0.009208,0.009208,0.009208
122,5592.84,0.8403,0.48338,1.08844,0.81185,0.80714,0.87021,0.6604,1.00877,0.5387,1.2695,0.0092014,0.0092014,0.0092014
123,5638.49,0.84142,0.48363,1.08513,0.81049,0.80329,0.86985,0.65885,1.00758,0.54595,1.26799,0.0091948,0.0091948,0.0091948
124,5684.21,0.83964,0.48108,1.08556,0.81737,0.78932,0.8663,0.65388,1.00776,0.54348,1.26785,0.0091882,0.0091882,0.0091882
125,5729.84,0.83948,0.47515,1.08353,0.81388,0.81041,0.87799,0.6569,1.01375,0.53718,1.27024,0.0091816,0.0091816,0.0091816
